model,month,test_type,baseline,n,mean_improvement,p_value
best_1_crops_reg_class_decoupled_20260619_094925_epoch015_loss_inf,4,month_level,right_class_field_adjusted_normalised_class_average,7,-0.14045996198845703,0.5078125
best_1_crops_reg_class_decoupled_20260619_094925_epoch015_loss_inf,5,month_level,right_class_field_adjusted_normalised_class_average,2,-4.524315733297826,1.0
best_1_crops_reg_class_decoupled_20260619_094925_epoch015_loss_inf,6,month_level,right_class_field_adjusted_normalised_class_average,5,-8.616132777835398,1.0
best_1_crops_reg_class_decoupled_20260619_094925_epoch015_loss_inf,7,month_level,right_class_field_adjusted_normalised_class_average,6,0.5791024643541819,0.5
best_1_crops_reg_class_decoupled_20260619_094925_epoch015_loss_inf,8,month_level,right_class_field_adjusted_normalised_class_average,6,0.5799585932780484,0.5
best_1_crops_reg_class_decoupled_20260619_094925_epoch015_loss_inf,10,month_level,right_class_field_adjusted_normalised_class_average,3,7.047521854648395,0.5
best_4_crops_just_reg_20260620_134624_epoch002_loss_inf,4,month_level,right_class_field_adjusted_normalised_class_average,7,9.844140231103278,0.1328125
best_4_crops_just_reg_20260620_134624_epoch002_loss_inf,5,month_level,right_class_field_adjusted_normalised_class_average,2,18.54796513866053,0.25
best_4_crops_just_reg_20260620_134624_epoch002_loss_inf,6,month_level,right_class_field_adjusted_normalised_class_average,5,7.976221610229979,0.5
best_4_crops_just_reg_20260620_134624_epoch002_loss_inf,7,month_level,right_class_field_adjusted_normalised_class_average,6,7.393943930410127,0.25
best_4_crops_just_reg_20260620_134624_epoch002_loss_inf,8,month_level,right_class_field_adjusted_normalised_class_average,6,15.229181284450272,0.109375
best_4_crops_just_reg_20260620_134624_epoch002_loss_inf,10,month_level,right_class_field_adjusted_normalised_class_average,3,11.152329536677977,0.5
best_4_crops_reg_class_decoupled_20260618_081709_epoch006_loss_inf,4,month_level,right_class_field_adjusted_normalised_class_average,7,10.62646914482117,0.046875
best_4_crops_reg_class_decoupled_20260618_081709_epoch006_loss_inf,5,month_level,right_class_field_adjusted_normalised_class_average,2,10.633260815845588,0.25
best_4_crops_reg_class_decoupled_20260618_081709_epoch006_loss_inf,6,month_level,right_class_field_adjusted_normalised_class_average,5,-3.676458200945441,0.78125
best_4_crops_reg_class_decoupled_20260618_081709_epoch006_loss_inf,7,month_level,right_class_field_adjusted_normalised_class_average,6,12.05097591176475,0.203125
best_4_crops_reg_class_decoupled_20260618_081709_epoch006_loss_inf,8,month_level,right_class_field_adjusted_normalised_class_average,6,16.25900875999806,0.09375
best_4_crops_reg_class_decoupled_20260618_081709_epoch006_loss_inf,10,month_level,right_class_field_adjusted_normalised_class_average,3,9.565824322304707,0.5
best_6_crops_reg_class_decoupled_20260623_165408_epoch010_loss_inf,4,month_level,right_class_field_adjusted_normalised_class_average,7,23.97794683592661,0.015625
best_6_crops_reg_class_decoupled_20260623_165408_epoch010_loss_inf,5,month_level,right_class_field_adjusted_normalised_class_average,2,45.67681845973597,0.25
best_6_crops_reg_class_decoupled_20260623_165408_epoch010_loss_inf,6,month_level,right_class_field_adjusted_normalised_class_average,5,8.4947253730116,0.25
best_6_crops_reg_class_decoupled_20260623_165408_epoch010_loss_inf,7,month_level,right_class_field_adjusted_normalised_class_average,6,20.49129353914583,0.078125
best_6_crops_reg_class_decoupled_20260623_165408_epoch010_loss_inf,8,month_level,right_class_field_adjusted_normalised_class_average,6,30.635831674648088,0.0625
best_6_crops_reg_class_decoupled_20260623_165408_epoch010_loss_inf,10,month_level,right_class_field_adjusted_normalised_class_average,3,-7.325491972365398,0.75
best_8_crops_reg_class_decoupled_20260617_085948_epoch001_loss_inf,4,month_level,right_class_field_adjusted_normalised_class_average,7,20.305549297458008,0.03125
best_8_crops_reg_class_decoupled_20260617_085948_epoch001_loss_inf,5,month_level,right_class_field_adjusted_normalised_class_average,2,2.7070785457955395,0.25
best_8_crops_reg_class_decoupled_20260617_085948_epoch001_loss_inf,6,month_level,right_class_field_adjusted_normalised_class_average,5,-4.81943375183541,0.96875
best_8_crops_reg_class_decoupled_20260617_085948_epoch001_loss_inf,7,month_level,right_class_field_adjusted_normalised_class_average,6,8.969190232901225,0.21875
best_8_crops_reg_class_decoupled_20260617_085948_epoch001_loss_inf,8,month_level,right_class_field_adjusted_normalised_class_average,6,21.170516111402165,0.046875
best_8_crops_reg_class_decoupled_20260617_085948_epoch001_loss_inf,10,month_level,right_class_field_adjusted_normalised_class_average,3,12.495988144291362,0.5
best_cnn_vit_fine_tune_20260606_211246_epoch006_loss_141,4,month_level,right_class_field_adjusted_normalised_class_average,7,11.881191528336592,0.2734375
best_cnn_vit_fine_tune_20260606_211246_epoch006_loss_141,5,month_level,right_class_field_adjusted_normalised_class_average,2,26.026161859750815,0.5
best_cnn_vit_fine_tune_20260606_211246_epoch006_loss_141,6,month_level,right_class_field_adjusted_normalised_class_average,5,19.379547813840663,0.15625
best_cnn_vit_fine_tune_20260606_211246_epoch006_loss_141,7,month_level,right_class_field_adjusted_normalised_class_average,6,13.030191178639933,0.328125
best_cnn_vit_fine_tune_20260606_211246_epoch006_loss_141,8,month_level,right_class_field_adjusted_normalised_class_average,6,25.31790137061112,0.0625
best_cnn_vit_fine_tune_20260606_211246_epoch006_loss_141,10,month_level,right_class_field_adjusted_normalised_class_average,3,-6.165055502003447,0.75
best_deep_supervision_corn_soy_wheat_20260615_212124_epoch000_loss_inf,4,month_level,right_class_field_adjusted_normalised_class_average,7,12.16933238993901,0.1640625
best_deep_supervision_corn_soy_wheat_20260615_212124_epoch000_loss_inf,5,month_level,right_class_field_adjusted_normalised_class_average,2,-4.495142275026282,1.0
best_deep_supervision_corn_soy_wheat_20260615_212124_epoch000_loss_inf,6,month_level,right_class_field_adjusted_normalised_class_average,5,-8.57108137844402,1.0
best_deep_supervision_corn_soy_wheat_20260615_212124_epoch000_loss_inf,7,month_level,right_class_field_adjusted_normalised_class_average,6,4.609345064633537,0.375
best_deep_supervision_corn_soy_wheat_20260615_212124_epoch000_loss_inf,8,month_level,right_class_field_adjusted_normalised_class_average,6,5.454660822285852,0.421875
best_deep_supervision_corn_soy_wheat_20260615_212124_epoch000_loss_inf,10,month_level,right_class_field_adjusted_normalised_class_average,3,-62.919401846879985,1.0
best_deep_supervision_corn_soy_wheat_20260622_084422_epoch000_loss_inf,4,month_level,right_class_field_adjusted_normalised_class_average,7,11.10878294879606,0.0625
best_deep_supervision_corn_soy_wheat_20260622_084422_epoch000_loss_inf,5,month_level,right_class_field_adjusted_normalised_class_average,2,-4.505248804135462,1.0
best_deep_supervision_corn_soy_wheat_20260622_084422_epoch000_loss_inf,6,month_level,right_class_field_adjusted_normalised_class_average,5,-8.558761697023098,1.0
best_deep_supervision_corn_soy_wheat_20260622_084422_epoch000_loss_inf,7,month_level,right_class_field_adjusted_normalised_class_average,6,0.615283481601327,0.5
best_deep_supervision_corn_soy_wheat_20260622_084422_epoch000_loss_inf,8,month_level,right_class_field_adjusted_normalised_class_average,6,0.40743704331942254,0.5
best_deep_supervision_corn_soy_wheat_20260622_084422_epoch000_loss_inf,10,month_level,right_class_field_adjusted_normalised_class_average,3,-73.69857824599173,1.0
best_deep_supervision_corn_soy_wheat_agg_epoch000_loss_54,4,month_level,right_class_field_adjusted_normalised_class_average,7,12.170488680399918,0.1640625
best_deep_supervision_corn_soy_wheat_agg_epoch000_loss_54,5,month_level,right_class_field_adjusted_normalised_class_average,2,-4.49514077652826,1.0
best_deep_supervision_corn_soy_wheat_agg_epoch000_loss_54,6,month_level,right_class_field_adjusted_normalised_class_average,5,-8.571088103338067,1.0
best_deep_supervision_corn_soy_wheat_agg_epoch000_loss_54,7,month_level,right_class_field_adjusted_normalised_class_average,6,4.611547220943817,0.375
best_deep_supervision_corn_soy_wheat_agg_epoch000_loss_54,8,month_level,right_class_field_adjusted_normalised_class_average,6,5.457578270965459,0.421875
best_deep_supervision_corn_soy_wheat_agg_epoch000_loss_54,10,month_level,right_class_field_adjusted_normalised_class_average,3,-62.91124224916522,1.0
best_deep_supervision_corn_soy_wheat_pretrained_fix_20260617_173712_epoch002_loss_inf,4,month_level,right_class_field_adjusted_normalised_class_average,7,15.217611423054484,0.015625
best_deep_supervision_corn_soy_wheat_pretrained_fix_20260617_173712_epoch002_loss_inf,5,month_level,right_class_field_adjusted_normalised_class_average,2,15.885191767917732,0.5
best_deep_supervision_corn_soy_wheat_pretrained_fix_20260617_173712_epoch002_loss_inf,6,month_level,right_class_field_adjusted_normalised_class_average,5,14.352424830836572,0.09375
best_deep_supervision_corn_soy_wheat_pretrained_fix_20260617_173712_epoch002_loss_inf,7,month_level,right_class_field_adjusted_normalised_class_average,6,6.304094652079324,0.375
best_deep_supervision_corn_soy_wheat_pretrained_fix_20260617_173712_epoch002_loss_inf,8,month_level,right_class_field_adjusted_normalised_class_average,6,5.386529145586937,0.484375
best_deep_supervision_corn_soy_wheat_pretrained_fix_20260617_173712_epoch002_loss_inf,10,month_level,right_class_field_adjusted_normalised_class_average,3,-4.0472811734660645,0.75
best_resnet18_corn_soy_wheat_20260603_111742_epoch002_loss_inf,4,month_level,right_class_field_adjusted_normalised_class_average,7,12.732949387974356,0.1640625
best_resnet18_corn_soy_wheat_20260603_111742_epoch002_loss_inf,5,month_level,right_class_field_adjusted_normalised_class_average,2,45.495353991498,0.25
best_resnet18_corn_soy_wheat_20260603_111742_epoch002_loss_inf,6,month_level,right_class_field_adjusted_normalised_class_average,5,-32.435622623499526,0.90625
best_resnet18_corn_soy_wheat_20260603_111742_epoch002_loss_inf,7,month_level,right_class_field_adjusted_normalised_class_average,6,-17.98287863521669,0.75
best_resnet18_corn_soy_wheat_20260603_111742_epoch002_loss_inf,8,month_level,right_class_field_adjusted_normalised_class_average,6,-0.91299220495524,0.515625
best_resnet18_corn_soy_wheat_20260603_111742_epoch002_loss_inf,10,month_level,right_class_field_adjusted_normalised_class_average,3,-40.65713809782865,1.0
best_seg_cnn_vit_fine_tune_20260608_221457_epoch006_loss_250,4,month_level,right_class_field_adjusted_normalised_class_average,7,-23.07000994650094,0.8671875
best_seg_cnn_vit_fine_tune_20260608_221457_epoch006_loss_250,5,month_level,right_class_field_adjusted_normalised_class_average,2,34.16416616272933,0.5
best_seg_cnn_vit_fine_tune_20260608_221457_epoch006_loss_250,6,month_level,right_class_field_adjusted_normalised_class_average,5,24.20096886486606,0.09375
best_seg_cnn_vit_fine_tune_20260608_221457_epoch006_loss_250,7,month_level,right_class_field_adjusted_normalised_class_average,6,11.902558256049796,0.25
best_seg_cnn_vit_fine_tune_20260608_221457_epoch006_loss_250,8,month_level,right_class_field_adjusted_normalised_class_average,6,14.52534632175154,0.171875
best_seg_cnn_vit_fine_tune_20260608_221457_epoch006_loss_250,10,month_level,right_class_field_adjusted_normalised_class_average,3,16.65826742992201,0.125
best_seg_cnn_vit_fine_tune_20260621_090044_epoch001_loss_inf,4,month_level,right_class_field_adjusted_normalised_class_average,7,-40.98579124009749,0.9296875
best_seg_cnn_vit_fine_tune_20260621_090044_epoch001_loss_inf,5,month_level,right_class_field_adjusted_normalised_class_average,2,43.84722585511214,0.25
best_seg_cnn_vit_fine_tune_20260621_090044_epoch001_loss_inf,6,month_level,right_class_field_adjusted_normalised_class_average,5,22.629312332766705,0.25
best_seg_cnn_vit_fine_tune_20260621_090044_epoch001_loss_inf,7,month_level,right_class_field_adjusted_normalised_class_average,6,0.11992567527366778,0.5
best_seg_cnn_vit_fine_tune_20260621_090044_epoch001_loss_inf,8,month_level,right_class_field_adjusted_normalised_class_average,6,16.95238054085758,0.046875
best_seg_cnn_vit_fine_tune_20260621_090044_epoch001_loss_inf,10,month_level,right_class_field_adjusted_normalised_class_average,3,-4.312031337167838,0.625
best_1_crops_reg_class_decoupled_20260619_094925_epoch015_loss_inf,overall,field_aggregated,right_class_field_adjusted_normalised_class_average,7,-0.14077710823248119,0.5078125
best_4_crops_just_reg_20260620_134624_epoch002_loss_inf,overall,field_aggregated,right_class_field_adjusted_normalised_class_average,7,10.803712609802584,0.1015625
best_4_crops_reg_class_decoupled_20260618_081709_epoch006_loss_inf,overall,field_aggregated,right_class_field_adjusted_normalised_class_average,7,10.561205000041285,0.0625
best_6_crops_reg_class_decoupled_20260623_165408_epoch010_loss_inf,overall,field_aggregated,right_class_field_adjusted_normalised_class_average,7,21.871097468514215,0.0234375
best_8_crops_reg_class_decoupled_20260617_085948_epoch001_loss_inf,overall,field_aggregated,right_class_field_adjusted_normalised_class_average,7,11.80999950059142,0.0390625
best_cnn_vit_fine_tune_20260606_211246_epoch006_loss_141,overall,field_aggregated,right_class_field_adjusted_normalised_class_average,7,13.112209977243541,0.2109375
best_deep_supervision_corn_soy_wheat_20260615_212124_epoch000_loss_inf,overall,field_aggregated,right_class_field_adjusted_normalised_class_average,7,-2.3995578045589205,0.625
best_deep_supervision_corn_soy_wheat_20260622_084422_epoch000_loss_inf,overall,field_aggregated,right_class_field_adjusted_normalised_class_average,7,-6.065621583838056,0.8125
best_deep_supervision_corn_soy_wheat_agg_epoch000_loss_54,overall,field_aggregated,right_class_field_adjusted_normalised_class_average,7,-2.3976528272818203,0.625
best_deep_supervision_corn_soy_wheat_pretrained_fix_20260617_173712_epoch002_loss_inf,overall,field_aggregated,right_class_field_adjusted_normalised_class_average,7,9.33214765987134,0.0703125
best_resnet18_corn_soy_wheat_20260603_111742_epoch002_loss_inf,overall,field_aggregated,right_class_field_adjusted_normalised_class_average,7,-1.7727356232285183,0.5390625
best_seg_cnn_vit_fine_tune_20260608_221457_epoch006_loss_250,overall,field_aggregated,right_class_field_adjusted_normalised_class_average,7,10.63760883161031,0.140625
best_seg_cnn_vit_fine_tune_20260621_090044_epoch001_loss_inf,overall,field_aggregated,right_class_field_adjusted_normalised_class_average,7,2.7226599614099443,0.4296875
best_1_crops_reg_class_decoupled_20260619_094925_epoch015_loss_inf,month_agg_overall,month_aggregated,right_class_field_adjusted_normalised_class_average,30,-0.9825897300942804,0.6065639343606564
best_4_crops_just_reg_20260620_134624_epoch002_loss_inf,month_agg_overall,month_aggregated,right_class_field_adjusted_normalised_class_average,30,10.515469289286852,0.012089879101208989
best_4_crops_reg_class_decoupled_20260618_081709_epoch006_loss_inf,month_agg_overall,month_aggregated,right_class_field_adjusted_normalised_class_average,30,9.88221091504358,0.008049919500804992
best_6_crops_reg_class_decoupled_20260623_165408_epoch010_loss_inf,month_agg_overall,month_aggregated,right_class_field_adjusted_normalised_class_average,30,20.947137970950287,9.99990000099999e-05
best_8_crops_reg_class_decoupled_20260617_085948_epoch001_loss_inf,month_agg_overall,month_aggregated,right_class_field_adjusted_normalised_class_average,30,11.317108502155854,0.0014999850001499984
best_cnn_vit_fine_tune_20260606_211246_epoch006_loss_141,month_agg_overall,month_aggregated,right_class_field_adjusted_normalised_class_average,30,13.262271860792435,0.06546934530654694
best_deep_supervision_corn_soy_wheat_20260615_212124_epoch000_loss_inf,month_agg_overall,month_aggregated,right_class_field_adjusted_normalised_class_average,30,-3.3150784607778405,0.6743432565674343
best_deep_supervision_corn_soy_wheat_20260622_084422_epoch000_loss_inf,month_agg_overall,month_aggregated,right_class_field_adjusted_normalised_class_average,30,-6.446939294858771,0.7591624083759162
best_deep_supervision_corn_soy_wheat_agg_epoch000_loss_54,month_agg_overall,month_aggregated,right_class_field_adjusted_normalised_class_average,30,-3.312969884504914,0.6742832571674283
best_deep_supervision_corn_soy_wheat_pretrained_fix_20260617_173712_epoch002_loss_inf,month_agg_overall,month_aggregated,right_class_field_adjusted_normalised_class_average,30,8.927171626712063,0.005479945200547995
best_resnet18_corn_soy_wheat_20260603_111742_epoch002_loss_inf,month_agg_overall,month_aggregated,right_class_field_adjusted_normalised_class_average,30,-5.768021748483928,0.7239627603723963
best_seg_cnn_vit_fine_tune_20260608_221457_epoch006_loss_250,month_agg_overall,month_aggregated,right_class_field_adjusted_normalised_class_average,30,9.86577440113007,0.1027889721102789
best_seg_cnn_vit_fine_tune_20260621_090044_epoch001_loss_inf,month_agg_overall,month_aggregated,right_class_field_adjusted_normalised_class_average,30,1.2717630996092562,0.45007549924500756
